sample	R1_reads	R1_average_read_length	R1_average_base_quality	R2_reads	R2_average_read_length	R2_average_base_quality	S_reads	S_average_read_length	S_average_base_quality	R1_post_host_filter_reads	R1_post_host_filter_average_read_length	R1_post_host_filter_average_base_quality	R2_post_host_filter_reads	R2_post_host_filter_average_read_length	R2_post_host_filter_average_base_quality	S_post_host_filter_reads	S_post_host_filter_average_read_length	S_post_host_filter_average_base_quality	R1_post_duplicate_filter_reads	R1_post_duplicate_filter_average_read_length	R1_post_duplicate_filter_average_base_quality	R2_post_duplicate_filter_reads	R2_post_duplicate_filter_average_read_length	R2_post_duplicate_filter_average_base_quality	S_post_duplicate_filter_reads	S_post_duplicate_filter_average_read_length	S_post_duplicate_filter_average_base_quality	post_quality_filtering_forward_reads	post_quality_filtering_forward_average_read_length	post_quality_filtering_forward_average_base_quality	post_quality_filtering_forward_based_singleton_reads	post_quality_filtering_forward_based_singleton_average_read_length	post_quality_filtering_forward_based_singleton_average_base_quality	post_quality_filtering_reverse_reads	post_quality_filtering_reverse_average_read_length	post_quality_filtering_reverse_average_base_quality	post_quality_filtering_reverse_based_singleton_reads	post_quality_filtering_reverse_based_singleton_average_read_length	post_quality_filtering_reverse_based_singleton_average_base_quality	post_quality_filtering_singleton_reads	post_quality_filtering_singleton_average_read_length	post_quality_filtering_singleton_average_base_quality	R1_post_quality_filter_reads	R1_post_quality_filter_average_read_length	R1_post_quality_filter_average_base_quality	R2_post_quality_filter_reads	R2_post_quality_filter_average_read_length	R2_post_quality_filter_average_base_quality	S_post_quality_filter_reads	S_post_quality_filter_average_read_length	S_post_quality_filter_average_base_quality	R1_matched_reads	R1_matches	R1_average_e_value	R2_matched_reads	R2_matches	R2_average_e_value	S_matched_reads	S_matches	S_average_e_value	R1_post_hit_filter_matched_reads	R1_post_hit_filter_matches	R1_post_hit_filter_average_e_value	R2_post_hit_filter_matched_reads	R2_post_hit_filter_matches	R2_post_hit_filter_average_e_value	S_post_hit_filter_matched_reads	S_post_hit_filter_matches	S_post_hit_filter_average_e_value	genes	orthologs	KOvsMODULE_BACTERIAL_KEGG_2013_07_15	KOvsPATHWAY_BACTERIAL_KEGG_2013_07_15
SRS012273	53769964	92.43729212837117	34.45782315038519	53769964	96.0013363966545	34.63614076539337	7608414	82.60668898932154	31.446746135420856	53768799	92.43723264118286	34.45781271348131	53768799	96.00131070437335	34.63612631497922	7608067	82.60681063928591	31.446835720541763	53768799	92.43723264118286	34.45781271348131	53768799	96.00131070437335	34.63612631497922	7608067	82.60681063928591	31.446835720541763	53767606	91.83482522915378	34.57860627335343	1193	4164787.3880972336	34.45771345477409	53767606	95.18803998824123	34.7771933439437	0	NA	NA	7608045	82.05972506734649	31.545803941269746	53767606	91.83482522915378	34.57860627335343	53767606	95.18803998824123	34.7771933439437	7609238	82.06202618448785	31.546490525444245	37352272	85554829	4.335392507174659e-05	39084430	84729241	2.743755970801541e-05	3967252	10015528	8.307938181774693e-05	37352272	75616943	4.1756128073184305e-05	39084430	75128903	2.644053290218411e-05	3967252	8829104	8.042834873623914e-05	2704675	5587	367	140
SRS011134	56717852	93.82846707593932	33.663083237056824	56717852	97.12049019416321	34.38027003766402	10909727	85.70734886399998	30.272742587032113	56717823	93.82847042630674	33.663083354173196	56717823	97.12049300622841	34.38027045617959	10909706	85.7073610416266	30.27274772226809	56717823	93.82847042630674	33.663083354173196	56717823	97.12049300622841	34.38027045617959	10909706	85.7073610416266	30.27274772226809	56717199	93.05930962846031	33.79039298304691	624	8481754.871794872	33.66301638083997	56717199	96.27425550404915	34.512502778483814	0	NA	NA	10909462	84.90191963636704	30.38815202071136	56717199	93.05930962846031	33.79039298304691	56717199	96.27425550404915	34.512502778483814	10910086	84.90203001149578	30.3883394469491	36727220	74049081	4.231564603005471e-05	38722431	74822143	2.997082821910129e-05	5426048	12037306	7.613080524410038e-05	36727220	65603582	4.061641903323949e-05	38722431	66473306	2.8688900570349346e-05	5426048	10523786	7.382356535071397e-05	2271931	5161	352	141
SRS011239	61916490	95.23919870134758	33.97824748111487	61916490	96.15458318131405	34.344568368366915	9404602	86.0483688730262	30.623863490889548	61916490	95.23919870134758	33.97824748111487	61916490	96.15458318131405	34.344568368366915	9404588	86.04835607896912	30.62387333658081	61916490	95.23919870134758	33.97824748111487	61916490	96.15458318131405	34.344568368366915	9404588	86.04835607896912	30.62387333658081	61916463	94.5456004972377	34.09375702482769	13	451592895.3076923	33.978192266951005	61916463	95.35406777031174	34.4751828503004	14	395943709.2142857	34.34873737911528	9404584	85.3476764097168	30.73005513402128	61916463	94.5456004972377	34.09375702482769	61916463	95.35406777031174	34.4751828503004	9404611	85.34768732061328	30.730058614637024	49106960	109688795	2.768899163813066e-05	49544296	109267845	2.465974111546255e-05	5827736	14430033	6.40600640414078e-05	49106960	97464105	2.658426985242945e-05	49544296	97136902	2.3537553985788506e-05	5827736	12771389	6.209328971551688e-05	1957431	5344	352	140
SRS011061	26757230	94.9311471703162	34.40332949198156	26757230	82.54253945569106	32.07094057998467	36571094	89.67336180864592	33.3455309886587	26757224	94.9311460336842	34.403329429778225	26757224	82.54253879251449	32.07094062589253	36571086	89.6733615457851	33.34553276462634	26757224	94.9311460336842	34.403329429778225	26757224	82.54253879251449	32.07094062589253	36571086	89.6733615457851	33.34553276462634	26757212	94.13992380820541	34.545170273657625	12	146818498.25	34.4158168888413	26757212	82.5425465104511	32.070941195308755	0	NA	NA	36571082	88.98732189548015	33.471203956290736	26757212	94.13992380820541	34.545170273657625	26757212	82.5425465104511	32.070941195308755	36571094	88.98732039572019	33.471203875682164	20119983	42961889	2.9210559668921626e-05	4609051	10992609	6.614294148606862e-05	23679096	55442264	4.82470343435931e-05	20119983	37757488	2.7853566108206488e-05	4609051	9556185	6.433097315505235e-05	23679096	48143504	4.6222504677482583e-05	1476892	3873	304	135
