ko_to_pathway_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
ko00010	2.8133023003786297	2.6487700883407035	3.1828363009741567	3.0111784206273926
ko00020	1.300962411885977	1.2466682265924727	1.9641593187113982	1.7009146455718278
ko00030	3.184410619295165	2.6675835554417184	3.1295389322967875	3.1253343622825174
ko00040	3.739946184135945	3.124386162441544	5.4258706545304785	4.155592513755526
ko00051	3.875854749519166	3.3936081766454134	5.544956660690601	4.613804306823197
ko00052	5.646127219416779	4.5218477702599955	7.676578899834752	5.835992506506546
ko00053	0.6909399933938148	0.6307395014199366	1.3146385617523055	1.136131913856741
ko00061	1.852396003542479	1.642180034715801	2.71880581629383	2.2660670132684713
ko00071	0.45047069731122374	0.4043892477288444	0.4632498468171285	0.4413669423784978
ko00072	0.016710584161336098	0.022218268028182112	0.007171949669213794	0.012193855742768532
ko00120	0.26063029639022134	0.34312229610379896	0.336917038269803	0.34543331225449747
ko00121	0.3554513222456924	0.36129279967182226	0.3847501653729679	0.36031695831440025
ko00130	0.7750297790077143	0.5963930006740974	0.9575922431271527	0.9603572537147317
ko00190	6.8068711242845374	5.664758437608199	7.714709062424094	7.617050809781682
ko00195	1.1653012607778905	1.3114008680194411	1.5339852883096263	1.4472056351606921
ko00220	1.4410014491501297	1.4255078922979643	1.9088165213929762	1.622498005692446
ko00230	9.918889840565601	10.093213149099856	12.055670878492737	11.286116594681038
ko00240	8.371800644323985	8.281165702358638	9.723258026703286	9.409499276570076
ko00250	4.3893817133902635	4.18009788067061	5.98259732939398	5.299397006137932
ko00253	0.00025522855936793465	0.0012779922156125395	0.04064620877949714	0.012393683136633147
ko00260	2.7947671424568834	2.3068945743916016	3.243612378783557	3.1811012218563413
ko00261	0.5421595757224761	0.47115578743525877	0.667691087772678	0.6431697539578132
ko00270	4.0879181802694315	3.7036776118860857	4.503519593839565	4.232741943841086
ko00280	0.46131963872779025	0.3862798831666464	0.6436784421207185	0.5005594135672267
ko00281	0.003507419600528111	0.0030562987512660475	0.002642888264445224	0.0031442054447232597
ko00290	0.9719690805033439	0.949495786413992	1.2129192725289335	1.0462022641268658
ko00300	1.8788055836261006	1.7247598055839035	2.2287124843602846	2.025620804252787
ko00310	1.120067636483663	0.9196932303480729	1.0013262736351298	1.4528165058291596
ko00311	0.2467038314711027	0.10780699629073402	0.1747753296118036	0.383416820755235
ko00330	2.033726710657633	1.7061673522666316	2.8029495547611747	2.617595281155118
ko00332	0.19855591017456745	0.16803263654720785	0.26384320524453075	0.2340725080966486
ko00333	0.385720883402936	0.37003446197999534	0.602923666728205	0.5077232235759503
ko00340	1.7663536649615554	1.57552896456509	2.692773631018294	2.309079590869532
ko00350	0.186953125203014	0.1725324985351715	0.19940422570825359	0.21124553442605842
ko00360	0.831526979612337	0.6706744170018349	1.2480749989829292	0.9511181881544312
ko00361	0.021692297459607116	0.023852736120191995	0.006990417914814373	0.008042401480962236
ko00362	0.20797817042629202	0.2011245316333941	0.19825894054109863	0.167708535857775
ko00364	0.0027287308717871897	7.40758534506093e-05	0.0	0.00029874194013525794
ko00365	0.00037684218720798914	2.7891672419502807e-05	0.00019567677140352067	0.00016445040485661843
ko00380	0.3419309594473555	0.2721916314908352	0.4793771603314863	0.39121487003924477
ko00400	1.7327366823301282	1.619800057016091	2.136003285531865	2.1234231152688676
ko00401	0.212339843049338	0.21395096846305625	0.26011821148803765	0.26546448830479114
ko00405	0.10564098837670491	0.09518935780575552	0.13701624233395787	0.1352180098205999
ko00410	0.3805688398008463	0.33098707289696816	0.49776704630777385	0.4039820254641539
ko00430	0.42242981185615947	0.39666503889230476	0.5291967641108802	0.4962276563496323
ko00440	0.8420305284361229	0.6837088781793963	1.1245828766447103	1.2055963143260566
ko00450	2.433119262300129	2.126107759298297	2.391785198189114	2.359204627931548
ko00460	0.9075533724648913	0.8699931328234067	1.798142847287093	1.2223326601802509
ko00471	0.8972432941372475	0.820314951456474	1.1012571122032229	0.9606887891646014
ko00472	0.0989725359874543	0.056328875990600116	0.024547445949658034	0.08709628970419839
ko00473	0.402565870648616	0.37502902949834005	0.4667282762231704	0.4225828395302517
ko00480	0.9036393048580798	0.7170510062801511	1.18482983077572	1.141572476125015
ko00500	5.0571919896727255	5.217617610962762	7.209687576116974	5.504794896344553
ko00511	5.64228075988506	4.126203494053768	10.130577162399415	7.061764978398759
ko00520	9.112804589495765	8.466652706933452	14.454734930384443	11.572679302120143
ko00521	1.4665194640206132	1.5607101324417902	2.2165721018970945	1.5097538288117245
ko00523	1.0963850306494662	1.247703104351333	1.7429673967800845	1.0874375915048424
ko00525	0.4698454868859161	0.555288271756802	0.6157758621087355	0.4197504868512517
ko00531	0.8797693527719056	0.5746860384717152	1.310124844472543	0.9790181089310818
ko00540	2.4100594771478643	2.4444415316997894	4.037793116873764	3.667695739433771
ko00550	5.79601568685597	5.253094668167932	6.151287861396679	5.784596663252388
ko00561	1.4448355924222822	1.0972328613087439	1.4780623905445172	1.321261639548776
ko00562	0.4007813501621198	0.326205272870264	0.5485934451701203	0.4496902267139417
ko00564	3.833885274243898	3.3801149889815365	4.2245561304693675	3.3559965988646696
ko00571	0.04671041469003284	0.0005266725525568084	0.23789595323249466	0.00038586866920865045
ko00572	0.056557855831815426	0.04474812899463663	0.014142279214306521	0.022552246785729393
ko00592	0.007008205084433863	0.021457194646482002	0.057951951033097575	0.015598543558993292
ko00603	0.7383264285771748	0.5695881820185216	1.14549709503346	0.7822068865104431
ko00604	0.41003855990978205	0.28284528884110577	0.6080399583369136	0.4876586046931333
ko00620	4.6563107849092304	3.978409605217583	5.512486211286582	4.899908712270677
ko00621	0.030576210884740038	0.017394252705245663	0.03290521940035454	0.014390700637696829
ko00622	0.03145469759026991	0.017852757530704803	0.0330340370621394	0.014496934375705614
ko00623	0.0029068593853007977	0.00022421881095243312	0.00010118655192205464	0.00036655353751905817
ko00624	0.00015104248631821125	4.343185064384397e-05	0.0	8.668853166910332e-06
ko00625	0.10423150898662634	0.0659010818663662	0.0467255193015882	0.06467254376171373
ko00626	0.049126078538527324	0.026435993677118783	0.01349112509157105	0.04198555253946315
ko00627	0.13853922722417353	0.03864914492820223	0.04746336546704547	0.06647025100165542
ko00630	1.9227396682404891	1.7583874568707152	2.712708653426015	2.37484392250192
ko00633	0.16230988442174835	0.09174713326979538	0.1289711937448748	0.09910555278371125
ko00640	2.6802287233976605	2.012720560074916	2.707835155852703	2.2075777842429787
ko00642	0.0013116330011593512	0.0001853676241360822	0.00015338064086147727	0.0003516297342156612
ko00643	0.023426746532967457	0.015684133310752708	0.033822825269597866	0.013824425524711732
ko00650	1.3985840738388295	1.3624930996527562	1.6535549724588767	1.5534138750840911
ko00660	0.5552584449035338	0.5000494960148733	0.7066475006282429	0.5778892677844609
ko00670	2.1650967470758755	1.998780311070222	2.7427316934171024	2.6578658594377758
ko00680	1.8150544121657843	1.5429564935391085	2.024006304194961	1.8198074990806146
ko00710	1.4616808267964172	1.3746185868264915	1.6280583224609753	1.643076791217286
ko00720	2.4045684655719297	2.1492829086240826	3.012519626207194	2.7477562115470926
ko00730	2.9981789153398997	3.022314082786055	3.5044385898807326	3.5761209143949766
ko00740	0.8317025623642474	0.8388952930215238	1.2628220865086046	1.2643654460834934
ko00750	1.1721751818394517	1.204810331859618	1.6546415531856093	1.4717888657181095
ko00760	2.997750833231798	2.8992515741262204	3.6059831119045156	3.3891777450511484
ko00770	2.2408993421265997	2.0980659209866457	2.6563005589092943	2.622003064061546
ko00780	1.924380875407134	1.633015074681336	3.0746100103766545	2.788851630520747
ko00785	0.4768038947096196	0.3181728274822476	0.698990799571211	0.5764870111974604
ko00790	3.373227497708405	3.090758048769647	4.75517943359309	4.306500541187842
ko00791	0.029103122945257624	0.02771813820651044	0.06479546084667873	0.01936851185307274
ko00860	2.960224740516608	2.6905305351748776	4.367239269412908	4.377468521510757
ko00900	1.849445506493782	1.8005759478167962	2.2035498699584526	2.1373738778843796
ko00903	0.014421204485659348	0.011354413425480879	0.004109105326084136	0.005225062440556894
ko00906	0.00847425517009993	0.0029141019635830754	0.00045377389782660915	0.009650808256293154
ko00908	0.3078805653707769	0.30041549470851053	0.3858542944086901	0.37751941469242967
ko00910	1.841469899431621	1.5926490837242138	2.39685121508301	2.0708781158938674
ko00920	1.198361340441817	0.8766868447616469	1.2796816952357237	1.2266957500685631
ko00930	0.014359827793810615	0.01213655352547228	0.0026317575954605044	0.003924667537624716
ko00940	0.548054244420989	0.516594669194792	1.304671730256289	0.7930405725501342
ko00944	0.013593075904911382	0.02967909185295873	0.043969220705278624	0.01761450162601385
ko00945	1.0273128491527564e-05	7.341626013823579e-06	0.00019942566701479042	3.7098963015379704e-06
ko00960	0.13180360602382735	0.14351525601149284	0.18141056755044555	0.16702296680131123
