ko_to_module_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
M00708	0.005190655995906825	0.004864640813324734	0.0004721818064797824	0.0010803805013066678
M00709	0.06667215199576125	0.04829534797756098	0.08311648699689707	0.08218501003207127
M00710	0.0	0.00011869075733938157	0.0004156918411384319	0.0
M00711	0.01153269888452006	0.0001660413248019378	0.0	0.0007217257994544826
M00712	0.0005754470104569608	0.00040299589109032844	0.0	0.0
M00713	0.0001793988055700176	0.0	0.0	2.742189620071823e-05
M00714	0.0001793988055700176	0.0	0.0	2.742189620071823e-05
M00715	0.000729445735575562	0.0001406227451086151	5.55761918043773e-05	0.001959276444787512
M00716	0.0006697539161586582	0.0004170351607928354	0.0	0.00023759887288790204
M00717	0.006211553878923953	0.0005860387386144403	0.0007954199966123826	0.0005450172413859783
M00718	0.5250346127542204	0.4125915401263224	1.0263801939351889	0.9159126875873775
M00719	0.008372310476026028	0.009375477135850007	0.007787242385904539	0.002221247824609308
M00720	0.04995683280791949	0.04142775145825922	0.08127982189224238	0.07806252518787474
M00721	0.03876407294348549	0.014140459016386303	0.0026595670082654034	0.0063871896963103286
M00722	0.04162818114054954	0.022447628308124544	0.03349714137122735	0.02923405166101707
M00723	0.0074002956839039485	0.0003670650080582853	2.030557595744774e-05	0.001144958325511867
M00724	0.006354023742684289	0.0019343198509998503	0.004121862367232794	0.0011228974034556093
M00725	0.0485211970427266	0.017492840127379315	0.0027719407724611056	0.0038370626594480574
M00726	0.0071199542031380346	0.0014888879666322553	0.0006767817493968211	0.0003681904997384173
M00727	0.9094580594526976	0.7022280765810128	0.9575417509438936	1.2807155375421175
M00728	0.2355257630690365	0.1552096520619159	0.0872926790640211	0.10156224406084834
M00729	1.8930177876623153	1.5996233479630173	1.1296793227653217	1.3086523734473547
M00730	8.389476053436428e-05	5.5396838982181725e-05	5.894444585312745e-05	1.1517944091986457e-05
M00731	0.0006848222051790066	0.0014092516038629016	0.0010671596698924126	0.0006537518920883378
M00732	5.446179284293022e-05	5.5396838982181725e-05	5.894444585312745e-05	0.0
M00733	2.9432967691434063e-05	0.0	0.0	1.1517944091986457e-05
