KO	SRS011061	SRS012273	SRS011134	SRS011239
K01771	0.0	0.00010662135231678308	0.0	0.0
K01772	0.001929468341606871	0.016000565808554836	0.007722594145130246	0.0008165348413399494
K01774	0.0	0.00834765883311335	0.0	0.00028598374410293396
K01775	0.08351435555390113	0.32419698921735113	0.2819656172569215	0.16382888826147904
K01776	1.342644064674105	1.034747418862368	0.5825595295609064	1.0382397807892363
K01777	0.0	0.0034802029130185526	0.0003215101357185671	0.00028937394426033875
K01778	0.9911257435187735	0.9572185896653972	0.7940332048933554	0.8661749031175648
K01779	0.0007168834547007143	0.05149091282998368	0.005193329927385774	0.022439371093399538
K01780	0.0	0.0035480623605441642	0.0	0.005035618753108892
K01782	0.0	0.0038197833825329916	0.00010741998981786314	0.00018032757644820464
K01783	1.1628396314615668	1.0795986806538282	0.9799543601893391	1.1941228043932766
K01784	1.3226736948979858	1.448710979421752	0.8446717892159241	1.4755843146690664
K01785	3.4233980647420106	2.7490040716607487	1.866095171806688	2.879217878944878
K01787	1.267130070325672	0.8730204050711379	0.5206351428336019	0.9728193906822656
K01788	0.1894737289388903	0.1629322200767405	0.2433881297089543	0.1659513749498522
K01790	2.3094136244687853	1.67499131660805	1.1420700999605524	1.0392100517125165
K01791	1.311982871856911	0.9076148056104926	1.074126413634004	1.4140115200466499
K01792	0.0038269845585326414	0.008557439624239374	0.019971744925193664	0.0007427881346027258
K01793	0.0	0.0	0.0	5.334575359094463e-05
K01796	0.0006092953265650524	0.0003286823642848201	0.0	0.0001295356923271157
K01798	0.867567896131437	0.6223619750169775	0.5779809012464091	0.6274044871425448
K01802	0.7191119659208917	0.6198371264954455	0.4360760679076059	0.7983024412643047
K01803	1.1242397116424196	1.0086852767850922	0.9970903628749963	1.1761980412454696
K01804	0.7573143974640906	0.6403559812925971	0.3529355434795079	0.7264015069969658
K01805	0.5078795740635622	0.3509735870748572	0.23879688210356365	0.32454959617817986
K01807	0.5336534241262696	0.14138979603398472	0.13658387305928568	0.23044114555155554
K01808	1.0811065383762177	1.314067043795856	0.8017648988521655	0.99445941727908
K01809	1.249961800901696	1.2083542421015925	0.9433849534013815	1.1667098952364552
K01810	1.151537750322513	0.9097620744973134	0.859665020437562	1.1224792357164368
K01811	2.2701454828507925	0.5354687193152795	0.4083209415787528	1.532661920662136
K01812	0.7787563519823522	0.5305560811444175	0.7164986645407873	0.7554271998393076
K01813	1.1098284662043967	0.9306277080133699	0.43986281812346995	0.8170750108374852
K01814	0.8634560067202399	0.96569064124871	0.7555532114062341	0.8450845129546344
K01815	0.7325396343267292	0.7488757555028067	0.769987305401831	0.9900466922425099
K01816	0.5134013754012956	0.11612526355531631	0.06856823779525194	0.1674397640688555
K01817	0.40159778559708054	0.6436573514315581	0.30701863977803345	0.3792405764742062
K01818	0.8473662902589822	0.453594930474129	0.43435423240145365	0.8248734658556198
K01819	0.0	0.04557813329501366	0.010820904698719287	0.00010908689436380959
K01820	0.0	0.0	0.0	0.00010461310119782647
K01821	0.0073304310550843434	0.19372342112597327	0.05560423195922058	0.02003676455943591
K01823	0.0022894540298425622	0.0683652127742815	0.011289302236556479	0.03219875238394144
K01825	0.0	0.0017605966749152436	2.9858359661355278e-05	0.00013345201008906773
K01826	0.0	0.00021111814704979768	0.0	0.0
K01829	0.0	0.0	0.00016060345445568608	0.0
K01834	2.0287269167729063	1.7650125648825439	1.4269543487447884	1.9429901207214006
K01835	1.1466391452082942	1.2181261121827063	0.9474528652001335	1.0835412280779828
K01838	0.44061621424645525	0.5413693473325051	0.38971595864716796	0.49515276702502736
K01839	0.024209685208364407	0.1484843173755545	0.09127577698990742	0.09374183345827604
K01840	0.9974524162666932	0.4264667621494896	0.4218180188120866	0.8140596925051304
K01841	0.00016340778195090815	0.0006482295434879213	0.0003282650242684539	0.0015153409859425355
K01843	0.7216653941172474	0.8082929842396588	0.37802528652883743	0.5096117475961096
K01844	0.01820421574056004	0.035083547400744104	0.05896918200283631	0.06122840191386796
K01845	0.03941134572123941	0.15310214841200484	0.14400634618067476	0.06481850980293917
K01846	0.0	0.0027483926481829822	0.0011548599179920112	0.0
K01847	1.9518265459646873	1.3460161734551075	1.1219785759064445	1.636860755618729
K01848	0.019911958389779733	0.06140724118509947	0.03588995636254569	0.034291802490995324
K01849	0.005474835014226646	0.04423199940287799	0.07018829231287894	0.0240983892911865
K01854	1.0171669282596074	0.8923514949628432	0.5329294203700013	1.1477999989497798
K01856	0.0	0.0002770951370774719	0.0	0.0
K01857	0.0	2.8689006626181408e-05	0.0	0.0
K01858	1.026849078339507	0.35552948894148406	0.3385251292078844	0.3791035322016257
K01866	0.8024301449726419	0.7942751223098019	0.7580996703682946	0.8959500914599315
K01867	1.0999932392890994	1.009672135193183	0.9716808479280105	1.159331253881019
K01868	0.6841022885051817	0.8709426498129141	0.8433263131286313	0.8636228192129491
K01869	0.9212202088586936	0.8707803763526709	0.8692640396098105	1.0756456105166514
K01870	0.587393916158121	0.7874865950106021	0.5271160138577387	0.8143634094775832
K01872	0.8998382148495174	0.9349732437282762	1.0531346322644808	1.1206813241075153
K01873	0.8608421592359785	0.7963161307195016	0.6602176160075068	0.8547498817195236
K01874	0.7708509676862424	0.7591894556694484	0.6701980626328323	0.6830908377304877
K01875	0.8875362478375188	0.9249930149961425	0.9838142701192861	0.978436849085763
K01876	0.7864019885881123	1.0601469814970355	0.8995790863446617	1.0568058657171124
K01878	0.05109454898194203	0.044424105667727684	0.040030204130134674	0.03643997953729796
K01879	0.0018943669639766372	0.06960933135710479	0.007621536329957484	0.037139849104148207
K01880	0.6212472273735856	0.5052713854834012	0.6380322034424906	0.5002291727367708
K01881	0.9058208427724089	0.8433063300427025	0.9435564569470188	1.0175110944740124
K01883	0.965674525348948	0.8274894050468712	0.7800149951572383	0.9135796812930695
K01885	0.809953812947676	0.7358054823321147	0.8571601496532201	0.9916278741399052
K01886	0.7081599596755753	0.8645263183084597	0.9750121469433475	1.1056170389206084
K01887	1.1524598204766574	1.1219115357741973	1.0131113571167942	1.1146145579481532
K01889	0.9544316428642914	0.8085654075239818	0.8260952977049357	1.010679517597017
K01890	0.7774485378769119	0.813817825227822	0.8455150610972852	0.7764569266375959
K01892	0.803886810214665	0.8795788218944262	0.9405810545758385	0.9575575348114266
K01893	0.9997781658165652	0.7814362570254337	0.7460341617600017	0.9112585103535144
